Question,Answer
how to submit a payroll record payment ?,"under the financials section, under the payroll tab, navigate and find the desired user and month, then select the user and press submit payment button, you can select multiple users to submit their payments. "
how to export payroll records ?,"under the financials section, under the payroll tab, navigate and press the export payroll button then choose the desired columns to be exported then press save .  "
how can i view externally managed employees ?,"under the financials section, under the payroll tab, navigate and toggle the show externally  managed employees switch, then continue on to remove currencies from the currency dropdown menu . "
how to Un-pay/rollback a payment record ?,"under the financials section, under the payroll tab, navigate and select the paid radio button to view all paid records, then select the records to be unpaid, then press the rollback button next to the employees name ."
how to export payslips ?,"under the financials section, under the payroll tab, navigate and find the paid payroll records then select them and press export payslip ."
what is bonus tab ?,"its a features that allows managers to view, edit, create and delete employees bonuses "
how to create a new bonus for an employee ?,"under the financials section, under the bonus tab, navigate and press Add new button then choose an employee or multiple then enter the amount and pay date then press save . "
how to create a bonus for multiple employees ?,"under the financials section, under the bonus tab, navigate and select import bonus button then download the bonus form and then reupload it after you are done entering the required data."
how to create a bonus for a department ?,"under the financials sections, under the bonus tab, navigate and press the dd new button then select department or multiple departments from the dropdown menu and enter required information, then press save .  "
how to create a bonus for an office ?,"under the financials sections, under the bonus tab, navigate and press the dd new button then select office or multiple offices  from the dropdown menu and enter required information, then press save .  "
how to edit a bonus ?,"under the financials section, under th bonus tab, navigate and find the bonus to be edited and then press the edit button and change the desired information ."
how to delete a bonus ?,"under the financials section, under th bonus tab, navigate and find the bonus to be deleted and then press the delete button ."
how to view bonuses in a certain date range  ?,"under the financials section, under the bonus tab, navigate and find the date fields and enter the desired date to filter the bonus records between ."
what is deductions  tab ?,"its a features that allows managers to view, edit, create and delete employees deductions ."
how to create a deduction for an employee?,"under financials, under the deductions tab, navigate and press add new button and then choose singular or multiple employees and fill in the required information then press save."
how to create multiple deductions for multiple employees ?,"under the financials section, under the deductions tab, navigate and select the import deductions button, then download and fill the form, then upload the form again ."
how to create a deduction for a department ?,"under the financials section, under the deductions tab, navigate and select the add new button and select singular or multiple departments and fill in the required details ."
how to create a deduction for an office ?,"under the financials section, under the deductions tab, navigate and select the add new button and select singular or multiple offices  and fill in the required details ."
how to view an employee bonus record ?,"under the financials section, under the bonus tab, navigate and select an employee from the employee dropdown menu "
how to view an employee deduction record ?,"under the financials section, under the deductions tab, navigate and select an employee from the employee dropdown menu "
how to edit a deduction ?,"under the financials section, under the deduction tab, navigate and find the deduction to be edited then press the edit button, change the desired information and press save . "
how to delete a deduction ?,"under the financials section, under the deductions tab, navigate and find the deduction record to be deleted, then press he delete button."
what is loans ?,"its a feature that allows manages to view, edit, create and delete loans taken by employees and their installments dates ."
how to create a loan ?,"under the financials section, under the loans tab, navigate and select the new loan button, then enter the required information and choose the installments dates then press save . "
how to pay a loan ?,"under the financials section, under the loans tab, navigate and select the loan and then select the installment you wish to  pay and press the pay button ."
how to edit a loan ?,"under the financials section, under the loans tab, navigate and find the loan to be edited, then press the edit button and change the desired information ."
how to delete a loan ?,"under the financials section, under the loans tab, navigate and find select the loan to be deleted and then press the delete button."
how to view a specific  employee loans ?,"under the financials section, under the loans tab, navigate and select an employee from the employee dropdown menu "
how to view settled loans ?,"under the financials section, under the loans tab, by default the shown loans are the unpaid / unsettled loans, to view settled/paid loans, navigate and select settled radio button."
what are company expenses tab ?,"its a feature that allows managers to view, edit, create and delete company expenses and petty cash"
how to add a company expense ?,"under the financials section, under the expenses tab, navigate and press the add expense button and fill the required information, you can select if the expense is on behalf an employee or not "
how to edit a company expense ?,"under the financials section, under the expenses tab, navigate and find the expense to be edited and press the edit button and change the desired information then press save."
how to delete a company expense ?,"under the financials section, under the expenses tab, navigate and find the expense to be deleted, then press the delete button "
how to export company expenses ?,"under the financials section, under the expenses tab, navigate and press the export button to export company expenses ."
how to view certain offices expenses ?,"under the financials section, under the expenses tab, navigate and select an office from the office drop down menu "
how to view a certain category in the company expenses ?,"under the financials section, under the expenses ta, navigate and select a category from the category dropdown menu"
how to view certain employees expenses ?,"under the financials section, under the expenses tab, navigate and select an employee from the employee dropdown menu ."
how to view company expenses in a certain date range ?,"under the financials section, under the expenses tab ,navigate and a date from the date fields to view company expenses during it "
how to add new petty cash for employees ?,"under the financials section, under the expenses tab, navigate and press modify balance button and fill the required details ."
how to edit petty cash records for employees?,"under the financials section, under the expenses tab, navigate and find the record to be edited then press the edit button and change the desired information then press save."
how to delete employee petty cash record ?,"under the financials section, under the expenses tab, navigate and find the record to be deleted ,then press the delete button ."
what is ATS section ?,"its a features that allows managers to track applying  applicants and contains (recruitment process, intake forms, job posts and applicants)  "
what is recruitment processes ?,"its a features that allows managers to create, edit, view, copy and delete recruitment processes for new applicants to use"
how to create a new recruitment process ?,"under ATS section, under recruitment processes  tab, navigate and press the add new button and fill the required information then press save "
how to activate a recruitment process ?,"under the ats section, under the recruitment processes, processes are active by default, if a process is deactivated, you can use the Active toggle switch to activate processes"
how to edit recruitment processes ?,"under the ats section, under the recruitment processes, navigate and find the process to be edited then press the edit button, change the desired information then press save "
how to copy recruitment processes ?,"under the ats section, under the recruitment processes, navigate and find the processes to copy, then press the copy button ."
how delete  recruitment processes ?,"under the ats section, under the recruitment processes tab, navigate and find the process to be deleted then press the delete button "
how to search for a certain recruitment process ?,"under the ats, under the recruitment processes tab, navigate and type the name of process in the search field "
how to filter recruitment processes by activity ?,"under the ats section, under the recruitment processes tab, navigate and select the activity toggle from the toggle radio buttons "
what are intake forms ?,"its a feature thats a  customizable template used to collect information from new employees during the onboarding process. they can be tailored to gather specific details such as emergency contact info, medical insurance preferences, or other HR-related data, managers can view, create, edit,copy and delete intake forms as well  as activate and deactivate them."
how to create a new intake form ?,"under ats section, under intake forms tab, navigate and press add new button and fill the required fields "
how to edit intake form ?,"under ats section, under intake forms tab, navigate and find the intake form to be edited then press the edit button and change the desired information then press save ."
how to copy intake form ?,"under ats section, under intake forms tab, navigate and find the intake form to be copied then press the copy button "
how to delete intake forms ?,"under the ats section, under the intake forms tab, navigate and find the intake form to be deleted then press the delete button "
how to search for a certain intake form ?,"under the ats section, under the intake forms tab, navigate and type the name of the intake form in the search bar field "
how to activate / deactivate intake forms ?,"under the ats section, under the intake forms tab, intake forms are active by default, but navigate and find the intake form to be activated then toggle the active switch to activate it "
how to filter intake forms by activity ?,"under the ats section, under the intake forms ab, navigate and select the desired filter from the activity radio buttons "
what are job posts ?,"its a feature that allows managers to view, edit ,create ,share and delete job postings "
how to create a job post?,"under ats section, under the job posts tab, navigate and press the add new button to create a new job posting after filling the required information "
how to edit job post ?,"under ats section, under job post tab, navigate and find the job posts to be edited then press the edit button and change the desired information "
how to share a job post ?,"under the ats section, under the job posts tab, navigate and find the job posts to be shared then press the link button to copy the link to clipboard and share it as a link"
how to delete job post ?,"under the ats section, under the job posts tab, navigate and find the job post to be deleted and press the delete  button "
ho to activate a job post ?,"under the ats section, under the job posts tab, job posts are active by default, but navigate and find the intake form to be activated then toggle the active switch to activate it "
how to search for an intake form by name ?,"under the ats section, under the job posts tab, navigate and type the name of the job post in the search field bar "
how to filter job posts by activity ?,"under the ats section, under the job posts tab, navigate and filter the job poss by selecting an activity button filter to filter job posts by activity "
how to add new applicants in a job post ?,"under the ats section, under the job posts tab, navigate and select the desired job post, then press the add new button and fill the required information . "
how to change status of applicants inside job posts ?,"under the ats section, under the job posts tab, navigate and select the desired job post then navigate to the status  dropdown menu and choose the desired status of the applicant "
whats the applicants tab ?,"its a features thats where all job applications received through Mawared HR System are stored. It provides a centralized location for reviewing and managing candidate submissions, including resumes, cover letters, and other supporting documents., and managers can delete applicants  or edit their information and statuses "
how to delete an applicant ?,"under the ats section, under the applicants tab, navigate and find the applicant you wnt to delete and press the delete button "
how to edit applicant details ?,"under the ats section, under the applicants tab, navigate and select the applicant you want and then press the edit buttons next to their details and change the desired information."
how to change an applicant status ?,"under the ats section, under the applicants tab, navigate and select the use you want and then navigate and find the status dropdown menu and choose the new status for the applicant."
how to sort applicants by job post ?,"under ats section, under applicants tab, navigate and select a job post from the job post dropdown menu "
how search for applicants by name ?,"under the ats section, under the applicants tab, navigate and type the applicants name in the search filed bar "
whats the settings tab ?,"its a feature that allows managers to make changes regarding important settings for he company such as ( offices and work spaces, departments, positions, work timings, leave and break profiles, attendance profiles, holidays, documents, expense categories, access levels and announcements )"
whats the offices and work spaces tab ?,"its a features that allows managers to view, edit, create and delete offices and work spaces "
how to create a new office ?,"under the settings tab, under offices and work spaces, navigate and press the add new button and fill the required details and choose office checkbox "
how to create a new work space ?,"under the settings tab, under offices and work spaces, navigate and press the add new button and fill the required details and choose work space checkbox "
how to edit an office ?,"under the settings section, under the offices and work spaces, navigate and find the company to edit and press the edit button and change the desired information then press save "
how to delete an office ?,"under the settings section, under the offices and work spaces, navigate and find the office to be deleted then press the delete button "
how to edit a work space ?,"under the settings section, under the offices and work spaces, navigate and find the work space to edit and press the edit button and change the desired information then press save "
how to delete a work space ?,"under the settings section, under the offices and work spaces, navigate and find the work space to be deleted then press the delete button "
how to filter offices and work spaces ?,"under the settings section, under the offices and work spaces tab, navigate and select offices or work spaces from the filter radio buttons "
how to search for an office or work space by name?,"under the settings section, under the offices and work spaces, navigate and type the office / work space name in the search field bar "
whats the departments tab ?,"its a feature that allows managers to view, edit, create and delete a new department "
how to create a new department ?,"under the settings section, under the departments tab, navigate and press the add new button and fill the required details "
how to edit a department ?,"under the settings section, under the departments tab, navigate and find the department to be edited then press the edit button and change the desired information and press save "
how to delete a department ?,"under the settings section, under the departments tab, navigate and find the department to be deleted, then press the delete button "
how to search for a department by name ?,"under the settings section, under the departments tab, navigate and type the name of the department i the search field bar "
whats the positions tab ?,"its a feature that allows managers to view, edit, create and delete positions "
how to create a new position ?,"under the settings section, under the positions tab, navigate and press the add new button and fill hte required information "
how to edit a position ?,"under the settings section, under the positions tab, navigate and find the position to edited then press the edit button and change the desired information then press save "
how to delete a position ?,"under the settings section, under the positions tab, navigate and find the position to be deleted then press the delete button "
how to search for a position ?,"under the settings section, under the positions tab, navigate and type the positions name in the search field bar "
whats the work timings tab ?,"its a feature that allows managers to view, edit, create and delete work timings for employees as well as archive work timings  "
how to create a new work timing ?,"under the settings section, under the work timing tab, navigate and press the add new  button and fill the required details  and choose either full day or half day "
how to copy a work timing ?,"under the settings sections, under the work timing tab, navigate and find the work timing to be copied and press the copy button "
how to edit a work timing ?,"under the settings section, under the work timing tab, navigate and find the work timing to be edited then press the edit button "
how to delete a work timing ?,"under the settings section, under the work timing tab, navigate and find the work timing to be deleted, then press the delete button "
how to archive a work timing ?,"under the settings section, under the work timing tab, navigate and find the work timing to be archived then press the archive button"
how to view a work timings versions ?,"under the settings section, under the work timing tab, navigate and find the desired work timing then press the downward arrow next to it to view the work timing versions "
how to search for a work timing by name ?,"under the settings section, under the work timings tab, navigate and type the work timings name in the search field bar "
how to view half day work timing ?,"under the settings section, under the work timings tab, navigate and press the half day button to view half day work timings "
how to view archived work timings ?,"under the settings section, under the work timings tab, navigate and press the archived radio button to filter archived work timings "
whats the leave and break profiles tab ?,"its a feature that allows managers to view, edit, delete and create profiles for annual leaves balance, permissions, sick leaves and unpaid leaves "
how to create a new leave and break profile ?,"under the settings section, under the leave and break profiles tab, navigate and press the add new button then fill the desired details "
how to edit a leave and break profile ?,"under the settings section, under the leave and break profiles tab , navigate and find the leave and break profile to be edited then press the edit button and change the desired information then press save "
how to copy a leave and break profile ?,"under the settings section, under the leave and break profiles tab, navigate and find the desired leave and break profile to be copied then press the copy button "
how to delete a leave and break profile ?,"under the settings section, under the leave and break profiles tab, navigate and find the desired leave and break profile to be deleted then press the delete button "
how to search for a leave and break profile by name ?,"under the settings section, under the leave and break profiles tab, navigate and type the name of the leave and break profile in the search field bar "
how to create a new attendance profile ?,"under the settings section, under the attendance profiles tab, navigate and  press  the add new button then fill the required details "
how to copy an attendance profile ?,"under the settings section, under the attendance profiles tab, navigate and find the attendance profile to be copied then press the copy button "
how to edit an attendance profile ?,"under the settings section, under the attendance profiles tab, navigate and find the desired attendance profile to be edited then press the edit button and change the desired details ten press save "
how to archive an attendance profile ?,"under the settings section, under the attendance profiles tab, navigate and find the desired attendance profile to be archived then press the archive button ."
how to delete an attendance profile ?,"under the settings section, under the attendance profiles tab, navigate and find the attendance profile to be deleted then press the delete button "
how to search for an attendance profile by name ?,"under the settings section, under the attendance profiles tab,  navigate and type the name of the attendance profile in the search field bar  "
how to view archived attendance profiles ?,"under the settings section, under the attendance profiles tab,  navigate and press the archived radio button to filter the archived attendance profiles "
how to create a new holiday ?,"under the settings section, under the holidays tab, navigate and press the add new button and fill the required details ."
how to edit a holiday ?,"under the settings section, under the holidays tab, navigate and find holiday to be edited then press the edit button an change the desired details then press save "
how to delete a holiday ?,"under the settings section, under the holidays tab, navigate and find the holiday to be deleted then press the delete button  "
how to auto suggest holidays according to office countries ?,"under the settings section, under the holidays tab, navigate and press  the auto suggest toggle switch "
how to search for holiday by name ?,"under the settings section, under the holidays tab, navigate and type the name of the holiday in the search field bar "
how to sort holidays by year ?,"under the settings section, under the holidays tab, navigate and find the date field and type the year you want to sort by "
how to edit required documents ?,"under the settings section, under the documents tab,  navigate and find the required documents and press the edit button and change the desired information then  press save "
how to edit optional documents ?,"under the settings section, under the documents tab,  navigate and find the optional documents and press the edit button and change the desired information then  press save "
how to add office level documents ?,"under the settings section, under the documents tab, navigate and press the add new button then fill the required details "
how to add department level documents ?,"under the settings section, under the documents tab, navigate and press the add new button then fill the required details "
how to add positions level documents ?,"under the settings section, under the documents tab, navigate and press the add new button then fill the required details "
how to add employee level documents ?,"under the settings section, under the documents tab, navigate and press the add new button then fill the required details "
how to create a new expense categories ?,"under the settings section, under the expense categories tab, navigate and press the add new button then fill the required details  "
how to edit an expense category ?,"under the settings section, under the expense categories tab,  navigate and find the category to be edited then press the edit button then change the desired information then press save "
how to delete an expense category ?,"under the settings section, under the expense categories tab, navigate and find the category to be deleted then press the delete button "
how to create a new access level  ?,"under the settings section, under the access levels,  navigate and press the add new button then fill the required details and press save "
how to edit an access level ?,"under the settings section, under the access levels, navigate and find the access level to be edited then press the edit button and change the desired information and save "
how to delete an access level ?,"under the settings section, under the access levels, navigate and find the access level to be deleted then press the delete button "
how to create a new announcement ?,"under the settings section, under the announcements tab, navigate and press the add new button then fill the required details "
how to search for an announcements by name ?,"under the settings section, under the announcements tab, navigate and type the name pof the announcements in the search field bar "
how to filter published and drafted announcements ?,"under the settings section, under the announcements tab, navigate and press the drafted / published radio buttons to filter announcements "
how to view my notification history ?,"while being anywhere in the system, navigate and press the show notifications button next to the profile picture  "
how to configure my notifications settings ?,"while being anywhere in the system, navigate and press the show notifications button next to the profile picture  then press the settings tab and toggle the settings you need "
how to change language ?,"while being anywhere in the system, navigate and press the change language  button next to the profile picture  and choose the desired language  "
how to view all of my employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the blue employees box "
how to view On-Time employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the Green employees box "
how to view late employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the Red employees box "
how to view absent employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the black employees box with absent text"
how to view not signed in  employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the black employees box with not signed in text"
how to view on leave employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the yellow employees box "
how to view day off employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the orange employees box "
how to view holiday employees in the dashboard ?,"under the dashboard section, navigate and press the show all button in the orange employees box "
how to change the employee page view ?,"under the employees section, under the employees tab, navigate and press the show list view button "
how to provide a user with a temporary password ?,"under the employees section, under the employees tab, navigate and find the user you want to provide the temporary password with, then press the temp password button "
how to view suspended employees ?,"under the employees section, under the employees tab, navigate and press the filter button and select suspended employees  "
how to activate a suspended employee ?,"under the employees section, under te employees tab, navigate and find the suspended employee then navigate and press the activate button and fill in the required details  "
how to view my employees attendance ?,"using the attendance history feature thats located in the attendance section, under the attendance history tab "
how to view my employees requests ?,"by using the requests feature located in the requests section ,under the requests tab, you can view all pending requests"
how to accept all requests ?,"by using the requests feature, under the requests section, under the requests tab, navigate and select a requests then press the select all button to select all requests then press the accept button "
how to reject all requests ?,"by using the requests feature, under the requests section, under the requests tab, navigate and select a requests then press the select all button to select all requests then press the reject button "
what kind of plans do you have ?,to know what plans mawared hr provides please contact us at \n https://mawaredhr.com/ for more information
how to sign up?,please contact us at  https://mawaredhr.com  \nfor more information on how to sign up \n
where are you located ?,"we have multiple offices located at \n1-Dubai Office: Mawared, Al Kunoz Business Center Building C, 3rd floor\r\nDeira.P.O Box 390667, Dubai, UAE.\n2-Cairo Office: Mawared 22 Goal Gamal St. Off Gamaet El\r\nDewal El Arabeya St., Mohandeseen, Giza, Egypt.\n3-Alexandria Office: Mawared 24 Aziz Koheil st from Abdel Hamid Al\r\nDeeb St., Tharwat,Alexandria, 21599,Egypt."
i want to sign up,please contact us at   https://mawaredhr.com  \nfor more information on how to sign up \n
i want to cancel,"we are very sorry to hear that, please contact us at https://mawaredhr.com/#contact_us  to proceed with your cancellation"
i have complaint,"we are very sorry to hear that, please contact us at  https://mawaredhr.com/#contact_us  to submit a complaint "
i forgot my password,"while in the login screen, navigate and press the forgot password button, then enter the phone or email used to sign up for mawared and press the continue button, then follow the steps sent to you to reset your account password "
how to reset my password ?,"while in the login screen, navigate and press the forgot password button, then enter the phone or email used to sign up for mawared and press the continue button, then follow the steps sent to you to reset your account password "
"you are not helpful at all, how do I speak with somebody?","Thank you for sharing your frustration. I apologize if I haven't been able to fully assist you so far. I genuinely want to make sure you receive the help you need. I completely understand the importance of speaking with a live person, someone who can address your concerns directly. To connect you with one of our knowledgeable representatives who will be able to assist you further, could you please provide me with some additional details about your issue or question? Having this information will help us ensure that you are connected with the most suitable person who can provide the necessary support. Thank you for your cooperation, and I appreciate your patience.  https://mawaredhr.com/#contact_us"
can I contact someone?,"I hear you! I'm following you that you are looking to contact someone, and I'm here to provide you with assistance. We have a dedicated team of human representatives who are ready to help you with any queries or concerns you may have. To get in touch with one of our representatives, please stay on the line and I will connect you shortly. Your satisfaction is our top priority, and we're here to ensure that you receive the support you need. https://mawaredhr.com/#contact_us"
want assistance speaking with a person,"I hear you! I'm following you that you are looking to contact someone, and I'm here to provide you with assistance. We have a dedicated team of human representatives who are ready to help you with any queries or concerns you may have. To get in touch with one of our representatives, please stay on the line and I will connect you shortly. Your satisfaction is our top priority, and we're here to ensure that you receive the support you need. https://mawaredhr.com/#contact_us"
i do not know how to speak with an assistant,"I hear you! I'm following you that you are looking to contact someone, and I'm here to provide you with assistance. We have a dedicated team of human representatives who are ready to help you with any queries or concerns you may have. To get in touch with one of our representatives, please stay on the line and I will connect you shortly. Your satisfaction is our top priority, and we're here to ensure that you receive the support you need. https://mawaredhr.com/#contact_us"
What are your customer service hours?,Our customer service team is available 24/7 to assist you. Please feel free to reach out with any questions or concerns.
what are the leaves types ?,"annual leave, unpaid leaves, custom leaves, sick leaves "
what are custom leaves types ?,"bereavement leaves, military leaves, hajj leaves, marriage leaves, on lieu of work day leaves ,"
what kinds of penalties are there ?,"late sign in, early sign out, missing sign out, absent, absent no show "
what do penalties deduct against ?,annual leaves and salary
how to request an expense claim ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to request annual leaves ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to request sick leaves ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to request unpaid leaves ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to request permissions ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to request loans ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to requests hajj leaves ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to request marriage leaves ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to request study leaves ?,"from the employee page, navigate and press new request button and choose the date and request type then fill in the required information "
how to view my schedule ?,"in the employee profile, navigate and select work calendar tab "
how to view my attendance history ?,"in the employee profile, navigate and select the history tab "
how to view my payroll records ?,"in the employee profile, navigate and select the payroll tab "
how to view my loans and loans requests ?,"in the employee profile, navigate and select the loans tab "
how to get a general view of my account ?,"in the employee profile, navigate and select the general tab "
how to get quick information about an employee ?,"navigate and find the employee you wish to view quick information about, then hover over the exclamation mark under the employee profile picture "
how to view an employee phone number ?,"navigate and find the employee you wish to view phone number , then hover over the phone icon under the employee profile picture "
how to view an employee email ?,"navigate and find the employee you wish to view email, then hover over the mail icon under the employee profile picture "
how to sign in multiple accounts ?,navigate and press your profile picture then select add another account then sign in the other account
how to log out ?,navigate and press your profile picture then press the log out button
how to edit my dashboard columns ?,"in the dashboard section, navigate and select the toggle columns and choose the desired columns "
how to create a new shift ?,"under the attendance section, under the assignments tab, navigate and press the change shift button  then fill the desired and required fields "
what are quick actions ?,its a feature that allows the user to use other features from anywhere in the system without having to navigate to the said features or section
how to use quick actions ?,"anywhere in the system, navigate and hover over the plus icon and choose the desired quick action button to start the chosen feature"
I want to create a new shift based employee,navigate to the Employees Section then press the add new button then choose shift based instead of office based and fill in the required details
I want to create a new salary configuration for an  employee,navigate to the desired employee and press the salary configuration tab and press add new then fill in the required details
I want to edit an employee salary configuration,navigate to employee's page then press the salary configuration tab and press the edit button and change the desired details then press save.
I want to create a new work group,Navigate to the employees section and press the work group tab then press the add new button and fill in the required details
I want to create a new work team,navigate to the Employees Section then press the add new button then choose shift based instead of office based and fill in the required details
I want to view my employees,Navigate and press the Employees Button
I want to view my employees attendance history,Navigate and select the attendances action then choose the attendance history tab
i want to view my employees payroll,Navigate and select the financials section then Press the payroll tab
I want to submit payment for and employee,Navigate to the financials section and select payroll tab then select the employee and press the submit payment button
I want to edit an employee attendance,Navigate to the attendance section and find the employee to be edited and then press edit and select the desired status
what are the available attendance statuses ?," Absent, On-time, Day off, Holiday And Late "
I want to add a new announcement,Navigate to the settings section then press the announcements tab then press add new and fill in the required details
I want to create a new Holiday,Navigate and select the settings section then select the holidays tab and press add new then fill the required details
i want to edit a holiday,Navigate and select the settings section then select the holidays tab and find the holiday to be edited then press the edit button and change the desired details then press save button
i want to submit payment for multiple employees,Navigate to the financials section then select the desired employees by checking the checkboxes next to their names and then press the submit payment button
I want to edit an employee information,Navigate and select the desired employee from the employees section then press the edit button and change the desired information and then press save
i want ti change access levels for an employee,Navigate to the employees section and select the Employee actions tab then select the desired employees and press the Bulk actions button
i want to add new employee documents,Navigate and select the Employees section then select the Employee documents tab and add the desired documents for desired employees
I want to change day off settings for an employee,Navigate and select the Employees section then press the employee actions tab and select the desired employees and press bulk actions then press change day off settings
i want to change holiday settings for an employee," Navigate and select the employees section, then press te bulk actions tab then select the desired employees and press change holiday settings "
i want to change check in settings for an employee," Navigate to the employees section, then press te bulk actions tab then select the desired employees and press change check in settings button "
I want to change department for and employee,Navigate and select the Employees section then press he employee actions tab then select the desired employees and press bulk actions button then select change department button
i want to change employee's position,navigate and select employees section then press the employee action then choose the desired employees and press bulk actions button then choose change position button
i want to change work remotely settings for an employee,navigate and select the employees section then press the employee actions tab then select the desired employee and press change work remotely settings button
i want to change direct manager for an employee,navigate and select the employees section then press the employee actions tab then choose the desired employee and press change direct manager button
i want to change copied managers for an employee,navigate and select employees section then select the employee actions tab and select the desired employees then press the bulk actions button and press change copied mangers button
i want to add annual leave balance for an employee,navigate and select the desired employee then press the add balance button and choose annual leave and the current year then enter the value and press save button
i want to add annual leaves balance for multiple employees,navigate to the employees section then choose the employee actions and select the desired employees and press the bulk action button then choose add balance button and choose annual leaves from the type and choose the current year then press save
i want to deduct annual leaves from an employee,navigate and select the desired employees then press the add balance button and choose the deduct option and select annual leaves from the type and enter the desired year and amount then press save
i want to deduct annual leaves from multiple employees," navigate and select the employees section then press employee actions and choose the desired employees and press the bulk actions button then select add balance button and choose the deduct option, then choose annual leaves and enter the year and value then press save "
i want add permissions balance to an employee,navigate and select the desired employee then press the add button then choose permissions from the type and enter the value and date then press save
i want to add permissions balance for multiple employees,navigate to employees section then press the employee actions tab then select the desired employees and press bulk actions button and choose permissions from type and fill required details
i want to reset balance for multiple employees,navigate to the employees section then press the employee actions tab and choose the desired employees and press the bulk actions button then select reset balance button
i want to verify/Activate an employee,Navigate and select the Employees section then press employee actions tab then choose the desired employees and press the bulk actions button then choose verify / activate button
i want to view my employees requests,Navigate and select the requests section then select the requests tab
i want to reject multiple employees requests,Navigate and select the requests section and press the request tab and select the desired requests and then press reject button
i want to accept multiple employee requests,Navigate and select the requests section then the requests tab and choose the desired requests and press accept
i want to view all loan requests,Navigate and select the requests section then the loan requests tab
i want to accept a loan request from an employee,Navigate and select the requests section and press the loan request tab then choose the desired loan request to accept
i want to view my employees claims,navigate and select the requests section and choose the claims tab
i want to accept an employee claim request,navigate to requests section then press the claims tab and choose the claim request to accept
what are the available requests in mawared hr system ?," Annual leaves, sick leaves, unpaid leaves and custom leaves "
what are the types of custom leaves in mawared hr system,"bereavement leaves, military leaves, hajj leaves, marriage leaves, on lieu of work day leaves ,study leaves and sabbatical leaves."
what is request cut off time ?,its the amount of time before the start of the work day that the employee can request leave before
i want to create a new attendance profile,navigate and select the settings section and press the attendance profile tab then press add new button
